"SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Coal",2005,50,0.129004104446138,NA,NA,NA,NA
"Coal",2006,50,0.134313633840316,2005,0.129004104446138,0.0411578330547944,0.00530952939417742
"Coal",2007,50,0.139171665838738,2006,0.134313633840316,0.0361693140116978,0.00485803199842258
"Coal",2008,50,0.131844931319037,2007,0.139171665838738,-0.0526453030187278,-0.00732673451970151
"Coal",2009,50,0.112752575614414,2008,0.131844931319037,-0.14480917479052,-0.0190923557046225
"Coal",2010,50,0.112401638473826,2009,0.112752575614414,-0.00311245342889797,-0.000350937140588162
"Coal",2011,50,0.117275595534423,2010,0.112401638473826,0.0433619752058339,0.00487395706059715
"Coal",2012,50,0.104603952517685,2011,0.117275595534423,-0.108050127215244,-0.0126716430167379
"Coal",2013,50,0.107035789754552,2012,0.104603952517685,0.0232480434853142,0.00243183723686689
"Coal",2014,50,0.093190181581274,2013,0.107035789754552,-0.129354940109548,-0.0138456081732782
"Coal",2015,50,0.0880323555294107,2014,0.093190181581274,-0.0553473119629564,-0.00515782605186332
"Coal",2016,50,0.0813405294022075,2015,0.0880323555294107,-0.0760155295965863,-0.00669182612720312
"Coal",2017,50,0.0794731635740048,2016,0.0813405294022075,-0.022957384737062,-0.00186736582820278
"Coal",2018,50,0.0725834598295377,2017,0.0794731635740048,-0.0866922044452332,-0.00688970374446708
"Coal",2019,50,0.0719494962630418,2018,0.0725834598295377,-0.00873427042448455,-0.000633963566495893
"Coal",2020,2,0.0472707983025426,2019,0.0719494962630418,-0.343000288289382,-0.0246786979604991
"Coal",2020,20,0.0444369610896347,2020,0.0472707983025426,-0.0599490026542559,-0.00283383721290793
"Coal",2020,50,0.0587419163707723,2020,0.0444369610896347,0.321915696536555,0.0143049552811376
"Coal",2020,200,0.013194989289804,2020,0.0587419163707723,-0.775373530435767,-0.0455469270809683
"Oil & Gas",2005,50,0.0900431308120519,NA,NA,NA,NA
"Oil & Gas",2006,50,0.0892922792400747,2005,0.0900431308120519,-0.0083387990311488,-0.000750851571977143
"Oil & Gas",2007,50,0.0892834006560739,2006,0.0892922792400747,-9.94328297634118e-05,-8.87858400086539e-06
"Oil & Gas",2008,50,0.0901536750657767,2007,0.0892834006560739,0.00974732596773687,0.000870274409702804
"Oil & Gas",2009,50,0.080278682855751,2008,0.0901536750657767,-0.109535104396141,-0.00987499221002566
"Oil & Gas",2010,50,0.0947805672662763,2009,0.080278682855751,0.180644274353417,0.0145018844105253
"Oil & Gas",2011,50,0.0885574281274341,2010,0.0947805672662763,-0.0656583867171729,-0.00622313913884219
"Oil & Gas",2012,50,0.0822802681253869,2011,0.0885574281274341,-0.0708823656555879,-0.00627716000204723
"Oil & Gas",2013,50,0.0821416800509972,2012,0.0822802681253869,-0.00168434155049723,-0.000138588074389642
"Oil & Gas",2014,50,0.0842745571261068,2013,0.0821416800509972,0.0259658321303556,0.00213287707510958
"Oil & Gas",2015,50,0.0886297729747188,2014,0.0842745571261068,0.051678893335446,0.00435521584861202
"Oil & Gas",2016,50,0.0941219966849699,2015,0.0886297729747188,0.0619681572671718,0.00549222371025111
"Oil & Gas",2017,50,0.0904903814697937,2016,0.0941219966849699,-0.0385841285043215,-0.0036316152151762
"Oil & Gas",2018,50,0.0841972073782311,2017,0.0904903814697937,-0.0695452266787419,-0.00629317409156263
"Oil & Gas",2019,50,0.0815396628112409,2018,0.0841972073782311,-0.0315633338651238,-0.00265754456699017
"Oil & Gas",2020,2,0.106714216046597,2019,0.0815396628112409,0.308739972271326,0.0251745532353558
"Oil & Gas",2020,20,0.10666746601319,2020,0.106714216046597,-0.000438086275089298,-4.67500334069282e-05
"Oil & Gas",2020,50,0.0644682878411101,2020,0.10666746601319,-0.395614330679437,-0.0421991781720797
"Oil & Gas",2020,200,0.0543866845786565,2020,0.0644682878411101,-0.15638081295568,-0.0100816032624536
"Smelter",2005,50,0.0973555245770433,NA,NA,NA,NA
"Smelter",2006,50,0.099310916159272,2005,0.0973555245770433,0.0200850603057584,0.00195539158222865
"Smelter",2007,50,0.0942777237381203,2006,0.099310916159272,-0.0506811598946446,-0.0050331924211517
"Smelter",2008,50,0.091536108585903,2007,0.0942777237381203,-0.0290802009585291,-0.00274161515221723
"Smelter",2009,50,0.0835960496377443,2008,0.091536108585903,-0.0867423694410967,-0.00794005894815875
"Smelter",2010,50,0.0745050577708459,2009,0.0835960496377443,-0.108749060587113,-0.00909099186689838
"Smelter",2011,50,0.0800565221543097,2010,0.0745050577708459,0.0745112419151239,0.00555146438346378
"Smelter",2012,50,0.0748865509029035,2011,0.0800565221543097,-0.0645790138302664,-0.0051699712514062
"Smelter",2013,50,0.0770903395904253,2012,0.0748865509029035,0.0294283641181334,0.00220378868752177
"Smelter",2014,50,0.0748060379224838,2013,0.0770903395904253,-0.0296314905353612,-0.00228430166794147
"Smelter",2015,50,0.0672350577235403,2014,0.0748060379224838,-0.101208143208824,-0.00757098019894348
"Smelter",2016,50,0.0662798372903159,2015,0.0672350577235403,-0.0142071780045486,-0.000955220433224435
"Smelter",2017,50,0.0688062814353746,2016,0.0662798372903159,0.0381178386723018,0.00252644414505868
"Smelter",2018,50,0.0632331920440677,2017,0.0688062814353746,-0.0809968112655718,-0.00557308939130685
"Smelter",2019,50,0.0629123192257031,2018,0.0632331920440677,-0.00507443651019536,-0.000320872818364612
"Smelter",2020,2,0.0593640319959607,2019,0.0629123192257031,-0.0564005154064129,-0.00354828722974243
"Smelter",2020,20,0.0715002467754842,2020,0.0593640319959607,0.204437171322012,0.0121362147795236
"Smelter",2020,50,0.0558287275924656,2020,0.0715002467754842,-0.219181329992166,-0.0156715191830187
"Smelter",2020,200,0.0408543685588492,2020,0.0558287275924656,-0.268219600900187,-0.0149743590336164
